1047,766,8098,Crossover,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1050,769,8099,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1052,771,8100,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1054,773,7236,Sedan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1056,775,7237,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1057,776,8102,Hybrid minivan 5-doors,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1070,787,8108,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1071,788,8110,Coupe,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1074,791,6983,wagon,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1080,797,8112,Sedan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1081,798,8113,Pickup,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1082,799,7238,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1083,800,8115,Roadster,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1085,802,8117,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1088,805,8118,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1089,806,8119,Hatchback,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1090,807,8120,Sedan 4-doors,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1094,811,8124,Minivan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1095,812,8125,Pickup,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1096,813,8126,Crossover,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1097,814,8127,Pickup,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1104,817,8129,X SUV 5-doors,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1107,819,8130,Hatchback,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1109,821,8132,Sedan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1111,823,8133,Sedan,1,2019-07-15 15:01:16,2019-07-15 15:01:16
1131,836,6986,Hatchback,1,2019-07-15 15:01:16,2019-07-15 15:01:16
