id, name, type_id, created_at, updated_at
3705,AMC,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3749,Austin Healey,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3753,Changhe,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3754,DFSK,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3755,Efini,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3756,Excalibur,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3757,Groz,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3760,Hurtan,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3761,Jiangnan,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3762,Jinbei,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3765,Monte Carlo,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3767,Nysa,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3771,Shifeng,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3772,SMA,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3774,Wuling,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3815,Genesis,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3821,Zibar,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
3822,Other car,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4142,RAM,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4144,Aurus,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4145,Trumpchi,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4146,Abarth,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4147,Baic,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4148,DFM,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
4149,Saipa,1, 2019-07-15 15:01:16, 2019-07-15 15:01:16
